Date,Close,High,Low,Open,Volume
2008-01-02,3.3664755821228027,3.366475582122803,3.366475582122803,3.366475582122803,0
2008-01-03,3.3753774166107178,3.3753774166107178,3.3753774166107178,3.3753774166107178,0
2008-01-04,3.410984754562378,3.410984754562378,3.410984754562378,3.410984754562378,0
2008-01-07,3.449018955230713,3.449018955230713,3.449018955230713,3.449018955230713,0
2008-01-08,3.46439528465271,3.46439528465271,3.46439528465271,3.46439528465271,0
2008-01-09,3.5000014305114746,3.5000014305114746,3.5000014305114746,3.5000014305114746,0
2008-01-10,3.5226612091064453,3.5226612091064453,3.5226612091064453,3.5226612091064453,0
2008-01-11,3.567978620529175,3.567978620529175,3.567978620529175,3.567978620529175,0
2008-01-14,3.580927610397339,3.5809276103973393,3.5809276103973393,3.5809276103973393,0
2008-01-15,3.546128988265991,3.546128988265991,3.546128988265991,3.546128988265991,0
2008-01-16,3.4206953048706055,3.4206953048706055,3.4206953048706055,3.4206953048706055,0
2008-01-17,3.359192371368408,3.359192371368408,3.359192371368408,3.359192371368408,0
2008-01-18,3.3721399307250977,3.3721399307250977,3.3721399307250977,3.3721399307250977,0
2008-01-21,3.208672046661377,3.208672046661377,3.208672046661377,3.208672046661377,0
2008-01-22,2.991793155670166,2.991793155670166,2.991793155670166,2.991793155670166,0
2008-01-23,3.108325242996216,3.108325242996216,3.108325242996216,3.108325242996216,0
2008-01-24,3.102660655975342,3.102660655975342,3.102660655975342,3.102660655975342,0
2008-01-25,3.147169589996338,3.147169589996338,3.147169589996338,3.147169589996338,0
2008-01-28,2.9262444972991943,2.9262444972991943,2.9262444972991943,2.9262444972991943,0
2008-01-29,2.93676495552063,2.93676495552063,2.93676495552063,2.93676495552063,0
2008-01-30,2.8833537101745605,2.8833537101745605,2.8833537101745605,2.8833537101745605,0
2008-01-31,2.8453195095062256,2.8453195095062256,2.8453195095062256,2.8453195095062256,0
2008-02-01,2.8388452529907227,2.8388452529907227,2.8388452529907227,2.8388452529907227,0
2008-02-04,3.0702908039093018,3.0702908039093018,3.0702908039093018,3.0702908039093018,0
2008-02-05,3.0492498874664307,3.0492498874664307,3.0492498874664307,3.0492498874664307,0
2008-02-13,2.969134569168091,2.969134569168091,2.969134569168091,2.969134569168091,0
2008-02-14,3.0079784393310547,3.0079784393310547,3.0079784393310547,3.0079784393310547,0
2008-02-15,2.962660312652588,2.962660312652588,2.962660312652588,2.962660312652588,0
2008-02-18,3.012834072113037,3.012834072113037,3.012834072113037,3.012834072113037,0
2008-02-19,3.075146198272705,3.075146198272705,3.075146198272705,3.075146198272705,0
2008-02-20,2.9901750087738037,2.9901750087738037,2.9901750087738037,2.9901750087738037,0
2008-02-21,2.947284698486328,2.947284698486328,2.947284698486328,2.947284698486328,0
2008-02-22,2.829134225845337,2.829134225845337,2.829134225845337,2.829134225845337,0
2008-02-25,2.727978467941284,2.727978467941284,2.727978467941284,2.727978467941284,0
2008-02-26,2.7498278617858887,2.7498278617858887,2.7498278617858887,2.7498278617858887,0
2008-02-27,2.8218510150909424,2.8218510150909424,2.8218510150909424,2.8218510150909424,0
2008-02-28,2.8032383918762207,2.8032383918762207,2.8032383918762207,2.8032383918762207,0
2008-02-29,2.8323709964752197,2.8323709964752197,2.8323709964752197,2.8323709964752197,0
2008-03-03,2.885781764984131,2.885781764984131,2.885781764984131,2.885781764984131,0
2008-03-04,2.7983829975128174,2.7983829975128174,2.7983829975128174,2.7983829975128174,0
2008-03-05,2.7627761363983154,2.7627761363983154,2.7627761363983154,2.7627761363983154,0
2008-03-06,2.8121402263641357,2.8121402263641357,2.8121402263641357,2.8121402263641357,0
2008-03-07,2.773296356201172,2.773296356201172,2.773296356201172,2.773296356201172,0
2008-03-10,2.6608102321624756,2.6608102321624756,2.6608102321624756,2.6608102321624756,0
2008-03-11,2.6664750576019287,2.6664750576019287,2.6664750576019287,2.6664750576019287,0
2008-03-12,2.5863595008850098,2.5863595008850098,2.5863595008850098,2.5863595008850098,0
2008-03-13,2.549943208694458,2.549943208694458,2.549943208694458,2.549943208694458,0
2008-03-14,2.523238182067871,2.523238182067871,2.523238182067871,2.523238182067871,0
